# GeoNames-derived (cities1000 via cities.json + all-the-cities feature codes, CC BY 4.0, geonames.org) — CA+US, lat-sorted; col6: 1=primary place, 0=city section/neighbourhood
Norland	Florida	25.94898	-80.21227	US	1
Sunny Isles Beach	Florida	25.95065	-80.12282	US	1
Aventura	Florida	25.95648	-80.13921	US	1
Ives Estates	Florida	25.96231	-80.17671	US	1
Cameron Park	Texas	25.96452	-97.47665	US	1
Lake Lucerne	Florida	25.96509	-80.24144	US	1
Andover	Florida	25.96843	-80.21283	US	1
Cameron Park Colonia	Texas	25.97147	-97.47832	US	1
Marco	Florida	25.9726	-81.72898	US	1
Lake Forest	Florida	25.97759	-80.1831	US	1
Miami Gardens	Florida	25.97981	-80.20255	US	1
Hallandale Beach	Florida	25.9812	-80.14838	US	1
West Park	Florida	25.98454	-80.19894	US	1
Miramar	Florida	25.98731	-80.23227	US	1
Pembroke Park	Florida	25.98787	-80.17477	US	1
Carver Ranches	Florida	25.98842	-80.19227	US	1
Pembroke Pines	Florida	26.00315	-80.22394	US	1
Hollywood	Florida	26.0112	-80.14949	US	1
West Hollywood	Florida	26.02065	-80.18394	US	0
Olmito	Texas	26.02174	-97.53415	US	1
Encantada-Ranchito-El Calaboz	Texas	26.03344	-97.63307	US	1
Rancho Viejo	Texas	26.03952	-97.55638	US	1
La Paloma	Texas	26.04591	-97.66749	US	1
Sunshine Ranches	Florida	26.04592	-80.32894	US	1
Los Indios	Texas	26.04924	-97.74499	US	1
Estates of Fort Lauderdale (historical)	Florida	26.0522	-80.17939	US	1
Dania Beach	Florida	26.05231	-80.14393	US	1
Cooper City	Florida	26.05731	-80.27172	US	1
Southwest Ranches	Florida	26.0587	-80.33727	US	1
Davie	Florida	26.06287	-80.2331	US	1
Los Fresnos	Texas	26.07174	-97.47637	US	1
Port Isabel	Texas	26.07341	-97.20858	US	1
Laguna Heights	Texas	26.08008	-97.25386	US	1
Lely Resort	Florida	26.08093	-81.69786	US	1
Verona Walk	Florida	26.08412	-81.67985	US	1
Naples Manor	Florida	26.0887	-81.7262	US	1
Progreso	Texas	26.0923	-97.95722	US	1
Pine Island Ridge	Florida	26.09481	-80.27394	US	1
